"site_id","latitude","longitude","elevation_in_meters","state","species_id","genus","species","common_name","kingdom","individual_id","phenophase_id","phenophase_description","first_yes_year","first_yes_month","first_yes_day","first_yes_doy","first_yes_julian_date","numdays_since_prior_no","last_yes_year","last_yes_month","last_yes_day","last_yes_doy","last_yes_julian_date","numdays_until_next_no","gdd","gddf","tmax_winter","tmax_spring","tmax_summer","tmax_fall","tmax","tmaxf","tmin_winter","tmin_spring","tmin_summer","tmin_fall","tmin","tminf","prcp_winter","prcp_spring","prcp_summer","prcp_fall","prcp","acc_prcp","daylength"
2,43.08535,-70.69133,12,"ME",99,"Betula","papyrifera","paper birch","Plantae",2111,498,"Colored leaves",2015,9,1,244,2457267,15,2015,11,4,308,2457331,6,2555.5,4599.9,0.13,12.63,24.91,15.59,28.5,83.3,-9.83,0.64,14.84,5.63,16.5,61.7,420,182,310,238,0,732,46656
38,45.407852,-93.200974,281,"MN",99,"Betula","papyrifera","paper birch","Plantae",5108,498,"Colored leaves",2015,8,28,240,2457263,7,2015,10,6,279,2457302,6,2565,4617,-4.24,13.88,26.14,12,25.5,77.9,-13.57,0.79,14.39,0.65,13.5,56.3,40,235,406,142,0,655,47693
1668,40.866283,-73.875717,21,"NY",98,"Betula","lenta","sweet birch","Plantae",38593,498,"Colored leaves",2015,9,3,246,2457269,19,2015,9,3,246,2457269,2,3294,5929.2,2.85,16.05,28.65,18.13,33.5,92.3,-5.19,5.32,18.87,9.19,21,69.8,374,217,253,275,0,696,45965
1668,40.866283,-73.875717,21,"NY",98,"Betula","lenta","sweet birch","Plantae",38593,498,"Colored leaves",2015,9,6,249,2457272,1,2015,9,17,260,2457283,3,3364.25,6055.65,2.85,16.05,28.65,18.13,29,84.2,-5.19,5.32,18.87,9.19,15.5,59.9,374,217,253,275,0,696,45619
1668,40.866283,-73.875717,21,"NY",98,"Betula","lenta","sweet birch","Plantae",38593,498,"Colored leaves",2015,9,24,267,2457290,4,2015,10,8,281,2457304,6,3764,6775.2,2.85,16.05,28.65,18.13,27,80.6,-5.19,5.32,18.87,9.19,13,55.4,374,217,253,275,0,756,42509
1668,40.866283,-73.875717,21,"NY",98,"Betula","lenta","sweet birch","Plantae",38593,498,"Colored leaves",2015,10,15,288,2457311,1,2015,10,15,288,2457311,2,4106.75,7392.15,2.85,16.05,28.65,18.13,18.5,65.3,-5.19,5.32,18.87,9.19,8,46.4,374,217,253,275,0,846,39053
1668,40.866283,-73.875717,21,"NY",98,"Betula","lenta","sweet birch","Plantae",38593,498,"Colored leaves",2015,10,22,295,2457318,5,2015,11,5,309,2457332,2,4188.25,7538.85,2.85,16.05,28.65,18.13,24,75.2,-5.19,5.32,18.87,9.19,10.5,50.9,374,217,253,275,0,846,38016
1668,40.866283,-73.875717,21,"NY",98,"Betula","lenta","sweet birch","Plantae",38594,498,"Colored leaves",2015,9,3,246,2457269,19,2015,9,3,246,2457269,2,3294,5929.2,2.85,16.05,28.65,18.13,33.5,92.3,-5.19,5.32,18.87,9.19,21,69.8,374,217,253,275,0,696,45965
1668,40.866283,-73.875717,21,"NY",98,"Betula","lenta","sweet birch","Plantae",38594,498,"Colored leaves",2015,9,6,249,2457272,1,2015,9,17,260,2457283,3,3364.25,6055.65,2.85,16.05,28.65,18.13,29,84.2,-5.19,5.32,18.87,9.19,15.5,59.9,374,217,253,275,0,696,45619
1668,40.866283,-73.875717,21,"NY",98,"Betula","lenta","sweet birch","Plantae",38594,498,"Colored leaves",2015,9,24,267,2457290,4,2015,11,7,311,2457334,7,3764,6775.2,2.85,16.05,28.65,18.13,27,80.6,-5.19,5.32,18.87,9.19,13,55.4,374,217,253,275,0,756,42509
