#
# Transition date estimate for harvard
#
# Site: harvard
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2008
# Year max: 2020
# Final Processing Date: 2020-08-20
# Final Processing Time: 05:35:32
# Spline RMSE gcc_mean: 0.00334
# Spline RMSE gcc_50: 0.00318
# Spline RMSE gcc_75: 0.00358
# Spline RMSE gcc_90: 0.00432
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
harvard,DB,1000,rising,gcc_90,2008-05-03,2008-05-07,2008-05-15,2008-05-01,2008-05-06,2008-05-13,2008-05-05,2008-05-09,2008-05-16,0.37756,0.38888,0.41893,0.36876,0.46337
harvard,DB,1000,rising,gcc_90,2009-04-27,2009-05-02,2009-05-10,2009-04-23,2009-05-01,2009-05-08,2009-04-30,2009-05-04,2009-05-11,0.37729,0.3889,0.41811,0.36805,0.462
harvard,DB,1000,rising,gcc_90,2010-04-20,2010-04-25,2010-05-01,2010-04-17,2010-04-24,2010-04-30,2010-04-23,2010-04-27,2010-05-02,0.37666,0.39202,0.41665,0.36871,0.46446
harvard,DB,1000,rising,gcc_90,2011-05-02,2011-05-06,2011-05-13,2011-04-29,2011-05-05,2011-05-11,2011-05-04,2011-05-08,2011-05-14,0.3799,0.39189,0.42053,0.37071,0.46825
harvard,DB,1000,rising,gcc_90,2012-04-23,2012-04-30,2012-05-07,2012-04-14,2012-04-29,2012-05-05,2012-04-26,2012-05-02,2012-05-08,0.38299,0.398,0.42706,0.37251,0.47762
harvard,DB,1000,rising,gcc_90,2013-04-29,2013-05-03,2013-05-10,2013-04-28,2013-05-02,2013-05-08,2013-05-02,2013-05-05,2013-05-11,0.37994,0.39338,0.42361,0.37264,0.47034
harvard,DB,1000,rising,gcc_90,2014-05-07,2014-05-10,2014-05-16,2014-05-05,2014-05-09,2014-05-14,2014-05-09,2014-05-12,2014-05-17,0.38363,0.39458,0.42918,0.373,0.47993
harvard,DB,1000,rising,gcc_90,2015-05-01,2015-05-06,2015-05-11,2015-04-29,2015-05-04,2015-05-10,2015-05-03,2015-05-07,2015-05-12,0.38214,0.3962,0.4204,0.37288,0.46622
harvard,DB,1000,rising,gcc_90,2016-05-06,2016-05-11,2016-05-18,2016-05-04,2016-05-10,2016-05-16,2016-05-08,2016-05-13,2016-05-19,0.38504,0.39821,0.43201,0.37541,0.47888
harvard,DB,1000,rising,gcc_90,2017-05-01,2017-05-09,2017-05-16,2017-04-27,2017-05-08,2017-05-14,2017-05-06,2017-05-11,2017-05-17,0.38591,0.40013,0.43733,0.37464,0.49268
harvard,DB,1000,rising,gcc_90,2018-05-02,2018-05-07,2018-05-13,2018-04-30,2018-05-06,2018-05-12,2018-05-05,2018-05-09,2018-05-14,0.38478,0.39785,0.42927,0.37508,0.4804
harvard,DB,1000,rising,gcc_90,2019-05-03,2019-05-11,2019-05-18,2019-04-29,2019-05-10,2019-05-16,2019-05-07,2019-05-13,2019-05-19,0.38633,0.40085,0.43156,0.37704,0.47784
harvard,DB,1000,rising,gcc_90,2020-05-13,2020-05-16,2020-05-22,2020-05-12,2020-05-15,2020-05-20,2020-05-15,2020-05-18,2020-05-23,0.38525,0.3981,0.42745,0.37763,0.47031
harvard,DB,1000,rising,gcc_75,2008-05-03,2008-05-08,2008-05-15,2008-05-01,2008-05-07,2008-05-13,2008-05-06,2008-05-09,2008-05-16,0.37551,0.38971,0.41469,0.36776,0.4573
harvard,DB,1000,rising,gcc_75,2009-04-26,2009-05-02,2009-05-10,2009-04-22,2009-05-01,2009-05-08,2009-04-29,2009-05-04,2009-05-11,0.37468,0.38648,0.41402,0.3663,0.45635
harvard,DB,1000,rising,gcc_75,2010-04-21,2010-04-25,2010-05-02,2010-04-18,2010-04-24,2010-04-30,2010-04-23,2010-04-27,2010-05-03,0.37658,0.38822,0.41674,0.36724,0.46102
harvard,DB,1000,rising,gcc_75,2011-05-01,2011-05-06,2011-05-14,2011-04-28,2011-05-05,2011-05-12,2011-05-04,2011-05-08,2011-05-15,0.37729,0.3895,0.41966,0.36878,0.46174
harvard,DB,1000,rising,gcc_75,2012-04-22,2012-04-30,2012-05-08,2012-04-14,2012-04-29,2012-05-06,2012-04-26,2012-05-03,2012-05-09,0.38013,0.39268,0.42327,0.37078,0.46842
harvard,DB,1000,rising,gcc_75,2013-04-29,2013-05-04,2013-05-11,2013-04-28,2013-05-03,2013-05-09,2013-05-02,2013-05-05,2013-05-12,0.37844,0.39379,0.42226,0.37094,0.4646
harvard,DB,1000,rising,gcc_75,2014-05-07,2014-05-11,2014-05-16,2014-05-05,2014-05-10,2014-05-15,2014-05-09,2014-05-12,2014-05-17,0.38099,0.39598,0.42341,0.37156,0.47269
