#
# Transition date estimate for harvardbarn
#
# Site: harvardbarn
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2012
# Year max: 2020
# Final Processing Date: 2020-09-23
# Final Processing Time: 08:11:36
# Spline RMSE gcc_mean: 0.00259
# Spline RMSE gcc_50: 0.00259
# Spline RMSE gcc_75: 0.00278
# Spline RMSE gcc_90: 0.00328
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
harvardbarn,DB,1000,rising,gcc_90,2012-04-26,2012-05-04,2012-05-09,2012-04-20,2012-05-03,2012-05-08,2012-04-29,2012-05-05,2012-05-10,0.31162,0.32624,0.35253,0.30231,0.39847
harvardbarn,DB,1000,rising,gcc_90,2013-05-03,2013-05-05,2013-05-11,2013-05-02,2013-05-04,2013-05-09,2013-05-04,2013-05-07,2013-05-12,0.30648,0.31642,0.34834,0.29795,0.39323
harvardbarn,DB,1000,rising,gcc_90,2014-05-09,2014-05-13,2014-05-17,2014-05-08,2014-05-12,2014-05-16,2014-05-11,2014-05-14,2014-05-18,0.30569,0.32387,0.35057,0.29854,0.40046
harvardbarn,DB,1000,rising,gcc_90,2015-05-05,2015-05-07,2015-05-12,2015-05-04,2015-05-06,2015-05-11,2015-05-06,2015-05-09,2015-05-13,0.30974,0.31959,0.34972,0.30144,0.39691
harvardbarn,DB,1000,rising,gcc_90,2016-05-10,2016-05-14,2016-05-19,2016-05-09,2016-05-13,2016-05-18,2016-05-12,2016-05-15,2016-05-20,0.31206,0.32905,0.35678,0.30597,0.40331
harvardbarn,DB,1000,rising,gcc_90,2017-05-06,2017-05-11,2017-05-16,2017-05-04,2017-05-10,2017-05-15,2017-05-09,2017-05-12,2017-05-17,0.30998,0.32462,0.35189,0.301,0.39908
harvardbarn,DB,1000,rising,gcc_90,2018-05-05,2018-05-09,2018-05-14,2018-05-04,2018-05-08,2018-05-12,2018-05-07,2018-05-10,2018-05-15,0.30978,0.32596,0.35728,0.30237,0.40449
harvardbarn,DB,1000,rising,gcc_90,2019-05-10,2019-05-14,2019-05-20,2019-05-08,2019-05-13,2019-05-18,2019-05-12,2019-05-16,2019-05-21,0.31302,0.32498,0.35784,0.30345,0.40143
harvardbarn,DB,1000,rising,gcc_90,2020-05-13,2020-05-17,2020-05-22,2020-05-11,2020-05-16,2020-05-21,2020-05-15,2020-05-18,2020-05-23,0.31309,0.33017,0.36553,0.30173,0.41881
harvardbarn,DB,1000,rising,gcc_75,2012-04-27,2012-05-04,2012-05-10,2012-04-21,2012-05-03,2012-05-08,2012-05-01,2012-05-06,2012-05-11,0.31056,0.32334,0.35291,0.3021,0.39501
harvardbarn,DB,1000,rising,gcc_75,2013-05-03,2013-05-05,2013-05-11,2013-05-02,2013-05-04,2013-05-10,2013-05-04,2013-05-07,2013-05-12,0.30431,0.31366,0.34394,0.29484,0.39044
harvardbarn,DB,1000,rising,gcc_75,2014-05-09,2014-05-12,2014-05-17,2014-05-08,2014-05-11,2014-05-16,2014-05-11,2014-05-14,2014-05-18,0.30404,0.31669,0.34748,0.29576,0.39791
harvardbarn,DB,1000,rising,gcc_75,2015-05-05,2015-05-07,2015-05-12,2015-05-04,2015-05-06,2015-05-11,2015-05-06,2015-05-09,2015-05-13,0.30702,0.31709,0.34723,0.29826,0.39372
harvardbarn,DB,1000,rising,gcc_75,2016-05-09,2016-05-13,2016-05-19,2016-05-08,2016-05-12,2016-05-17,2016-05-11,2016-05-14,2016-05-20,0.30728,0.32286,0.35315,0.29742,0.39966
harvardbarn,DB,1000,rising,gcc_75,2017-05-05,2017-05-11,2017-05-16,2017-05-02,2017-05-10,2017-05-15,2017-05-08,2017-05-12,2017-05-17,0.30713,0.32205,0.34763,0.29811,0.39537
harvardbarn,DB,1000,rising,gcc_75,2018-05-06,2018-05-09,2018-05-15,2018-05-04,2018-05-08,2018-05-13,2018-05-08,2018-05-11,2018-05-16,0.3099,0.32142,0.35588,0.29963,0.40236
harvardbarn,DB,1000,rising,gcc_75,2019-05-09,2019-05-14,2019-05-19,2019-05-07,2019-05-13,2019-05-18,2019-05-11,2019-05-16,2019-05-20,0.30953,0.32387,0.35014,0.3009,0.39925
harvardbarn,DB,1000,rising,gcc_75,2020-05-13,2020-05-17,2020-05-22,2020-05-11,2020-05-16,2020-05-21,2020-05-15,2020-05-18,2020-05-23,0.31065,0.32676,0.361,0.29917,0.41529
harvardbarn,DB,1000,rising,gcc_50,2012-04-25,2012-05-04,2012-05-10,2012-04-21,2012-05-03,2012-05-09,2012-04-29,2012-05-06,2012-05-11,0.30722,0.31934,0.34547,0.29828,0.39077
harvardbarn,DB,1000,rising,gcc_50,2013-05-02,2013-05-05,2013-05-11,2013-05-01,2013-05-04,2013-05-10,2013-05-04,2013-05-07,2013-05-12,0.29689,0.30911,0.33887,0.29012,0.38464
harvardbarn,DB,1000,rising,gcc_50,2014-05-09,2014-05-13,2014-05-18,2014-05-08,2014-05-12,2014-05-16,2014-05-11,2014-05-15,2014-05-19,0.2998,0.31574,0.34902,0.29236,0.39352
harvardbarn,DB,1000,rising,gcc_50,2015-05-05,2015-05-07,2015-05-12,2015-05-04,2015-05-06,2015-05-11,2015-05-06,2015-05-09,2015-05-13,0.30328,0.31312,0.34279,0.29478,0.38882
harvardbarn,DB,1000,rising,gcc_50,2016-05-08,2016-05-12,2016-05-19,2016-05-07,2016-05-11,2016-05-17,2016-05-10,2016-05-14,2016-05-20,0.30119,0.31534,0.3488,0.29268,0.39516
harvardbarn,DB,1000,rising,gcc_50,2017-05-02,2017-05-10,2017-05-17,2017-04-29,2017-05-09,2017-05-15,2017-05-06,2017-05-12,2017-05-18,0.30299,0.31601,0.34913,0.29415,0.39086
harvardbarn,DB,1000,rising,gcc_50,2018-05-06,2018-05-09,2018-05-15,2018-05-05,2018-05-08,2018-05-13,2018-05-08,2018-05-11,2018-05-16,0.3056,0.31683,0.35125,0.29631,0.39843
harvardbarn,DB,1000,rising,gcc_50,2019-05-09,2019-05-14,2019-05-20,2019-05-07,2019-05-13,2019-05-18,2019-05-11,2019-05-15,2019-05-21,0.30767,0.32205,0.35121,0.29797,0.39546
harvardbarn,DB,1000,rising,gcc_50,2020-05-12,2020-05-17,2020-05-22,2020-04-26,2020-05-16,2020-05-21,2020-05-14,2020-05-19,2020-05-23,0.30542,0.3211,0.3542,0.29474,0.41147
harvardbarn,DB,1000,rising,gcc_mean,2012-04-24,2012-05-04,2012-05-10,2012-04-20,2012-05-03,2012-05-08,2012-04-29,2012-05-06,2012-05-11,0.30637,0.31949,0.34503,0.29742,0.38864
harvardbarn,DB,1000,rising,gcc_mean,2013-05-02,2013-05-05,2013-05-11,2013-05-01,2013-05-04,2013-05-09,2013-05-04,2013-05-07,2013-05-12,0.29693,0.309,0.33868,0.28965,0.38098
harvardbarn,DB,1000,rising,gcc_mean,2014-05-09,2014-05-13,2014-05-17,2014-05-08,2014-05-12,2014-05-16,2014-05-11,2014-05-14,2014-05-18,0.30006,0.31655,0.34206,0.29198,0.39178
harvardbarn,DB,1000,rising,gcc_mean,2015-05-05,2015-05-07,2015-05-12,2015-05-04,2015-05-06,2015-05-11,2015-05-07,2015-05-09,2015-05-13,0.3028,0.31237,0.34152,0.29469,0.38707
harvardbarn,DB,1000,rising,gcc_mean,2016-05-08,2016-05-12,2016-05-18,2016-05-07,2016-05-11,2016-05-17,2016-05-10,2016-05-14,2016-05-19,0.30074,0.31486,0.34361,0.29289,0.39334
harvardbarn,DB,1000,rising,gcc_mean,2017-05-02,2017-05-10,2017-05-16,2017-04-29,2017-05-09,2017-05-15,2017-05-06,2017-05-12,2017-05-17,0.30313,0.31599,0.34222,0.29405,0.38986
harvardbarn,DB,1000,rising,gcc_mean,2018-05-05,2018-05-09,2018-05-15,2018-05-04,2018-05-08,2018-05-13,2018-05-07,2018-05-11,2018-05-16,0.30343,0.31798,0.35062,0.29576,0.39487
harvardbarn,DB,1000,rising,gcc_mean,2019-05-08,2019-05-14,2019-05-20,2019-05-07,2019-05-13,2019-05-18,2019-05-11,2019-05-15,2019-05-21,0.30517,0.32125,0.35005,0.29758,0.39332
harvardbarn,DB,1000,rising,gcc_mean,2020-05-11,2020-05-17,2020-05-22,2020-04-30,2020-05-16,2020-05-21,2020-05-14,2020-05-18,2020-05-23,0.30535,0.32227,0.35376,0.29458,0.40934
harvardbarn,DB,1000,falling,gcc_90,2019-10-23,2019-10-21,2019-10-15,2019-10-24,2019-10-22,2019-10-17,2019-10-22,2019-10-19,2019-10-14,0.30615,0.31762,0.3468,0.29823,0.38698
harvardbarn,DB,1000,falling,gcc_90,2018-10-31,2018-10-27,2018-10-14,2018-11-02,2018-10-28,2018-10-18,2018-10-29,2018-10-25,2018-10-09,0.32444,0.3344,0.35439,0.31746,0.39077
harvardbarn,DB,1000,falling,gcc_90,2017-11-06,2017-11-03,2017-10-27,2017-11-07,2017-11-04,2017-10-29,2017-11-04,2017-11-01,2017-10-25,0.30784,0.31954,0.34554,0.29998,0.39091
harvardbarn,DB,1000,falling,gcc_90,2016-11-02,2016-10-31,2016-10-24,2016-11-03,2016-11-01,2016-10-27,2016-11-01,2016-10-30,2016-10-22,0.30877,0.31969,0.34283,0.30134,0.38261
harvardbarn,DB,1000,falling,gcc_90,2015-11-02,2015-10-28,2015-10-18,2015-11-04,2015-10-30,2015-10-21,2015-10-31,2015-10-26,2015-10-16,0.3083,0.32168,0.3447,0.30134,0.38746
harvardbarn,DB,1000,falling,gcc_90,2014-10-25,2014-10-23,2014-10-16,2014-10-26,2014-10-24,2014-10-18,2014-10-24,2014-10-21,2014-10-15,0.30896,0.31836,0.34777,0.30089,0.38711
harvardbarn,DB,1000,falling,gcc_90,2013-10-23,2013-10-19,2013-10-13,2013-10-24,2013-10-20,2013-10-15,2013-10-21,2013-10-18,2013-10-11,0.30066,0.31329,0.33533,0.29271,0.3776
