#
# Transition date estimate for harvardhemlock
#
# Site: harvardhemlock
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2011
# Year max: 2020
# Final Processing Date: 2020-10-06
# Final Processing Time: 12:08:15
# Spline RMSE gcc_mean: 0.00203
# Spline RMSE gcc_50: 0.00273
# Spline RMSE gcc_75: 0.00257
# Spline RMSE gcc_90: 0.00214
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
harvardhemlock,DB,1000,rising,gcc_90,2011-05-03,2011-05-10,2011-05-18,2011-05-01,2011-05-09,2011-05-16,2011-05-07,2011-05-12,2011-05-19,0.36873,0.37705,0.39359,0.36408,0.41889
harvardhemlock,DB,1000,rising,gcc_90,2012-04-28,2012-05-04,2012-05-10,2012-04-20,2012-05-03,2012-05-08,2012-05-01,2012-05-05,2012-05-11,0.36986,0.37814,0.39511,0.36476,0.41874
harvardhemlock,DB,1000,rising,gcc_90,2013-05-02,2013-05-06,2013-05-11,2013-04-30,2013-05-05,2013-05-10,2013-05-04,2013-05-07,2013-05-12,0.3688,0.37643,0.39102,0.36416,0.416
harvardhemlock,DB,1000,rising,gcc_90,2014-05-09,2014-05-13,2014-05-19,2014-05-08,2014-05-12,2014-05-17,2014-05-12,2014-05-15,2014-05-20,0.3689,0.37634,0.39287,0.3646,0.41666
harvardhemlock,DB,1000,rising,gcc_90,2015-05-04,2015-05-06,2015-05-11,2015-05-03,2015-05-05,2015-05-09,2015-05-05,2015-05-08,2015-05-12,0.36856,0.37381,0.38828,0.36445,0.40842
harvardhemlock,DB,1000,rising,gcc_90,2016-05-08,2016-05-13,2016-05-19,2016-05-06,2016-05-12,2016-05-17,2016-05-11,2016-05-15,2016-05-20,0.36941,0.37574,0.39135,0.36553,0.41297
harvardhemlock,DB,1000,rising,gcc_90,2017-05-07,2017-05-11,2017-05-16,2017-05-04,2017-05-10,2017-05-15,2017-05-09,2017-05-13,2017-05-17,0.37027,0.37681,0.38875,0.3661,0.40981
harvardhemlock,DB,1000,rising,gcc_90,2018-05-07,2018-05-10,2018-05-15,2018-05-05,2018-05-09,2018-05-13,2018-05-09,2018-05-12,2018-05-16,0.37118,0.37777,0.39433,0.36664,0.41618
harvardhemlock,DB,1000,rising,gcc_90,2019-05-10,2019-05-14,2019-05-19,2019-05-08,2019-05-13,2019-05-18,2019-05-12,2019-05-16,2019-05-20,0.37316,0.37945,0.39513,0.36812,0.42078
harvardhemlock,DB,1000,rising,gcc_90,2020-04-14,2020-05-15,2020-05-22,2020-04-08,2020-05-14,2020-05-20,2020-04-25,2020-05-17,2020-05-23,0.37794,0.3894,0.41237,0.37038,0.4483
harvardhemlock,DB,1000,rising,gcc_75,2011-05-04,2011-05-10,2011-05-18,2011-04-30,2011-05-08,2011-05-16,2011-05-07,2011-05-13,2011-05-19,0.36794,0.37494,0.39067,0.36276,0.41589
harvardhemlock,DB,1000,rising,gcc_75,2012-04-28,2012-05-04,2012-05-10,2012-04-18,2012-05-02,2012-05-08,2012-05-02,2012-05-06,2012-05-11,0.36786,0.37557,0.39178,0.36332,0.41406
harvardhemlock,DB,1000,rising,gcc_75,2013-05-02,2013-05-06,2013-05-11,2013-04-30,2013-05-05,2013-05-09,2013-05-05,2013-05-08,2013-05-12,0.36704,0.37413,0.38824,0.36266,0.41137
harvardhemlock,DB,1000,rising,gcc_75,2014-05-10,2014-05-13,2014-05-19,2014-05-08,2014-05-12,2014-05-17,2014-05-12,2014-05-15,2014-05-20,0.36754,0.37356,0.38937,0.36284,0.41055
