#
# 3-day summary product time series for harvardlph
#
# Site: harvardlph
# Veg Type: DB
# ROI ID Number: 1000
# Lat: 42.542
# Lon: -72.185
# Elev: 380
# UTC Offset: -5
# Image Count Threshold: 1
# Aggregation Period: 3
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2018-05-01
# Creation Time: 15:04:12
# Update Date: 2020-03-31
# Update Time: 05:27:53
# Final Processing Date:: 2020-10-12
# Final Processing Time:: 09:14:04
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2010-03-18,2010,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34359,0.34409,0.34698,0.34855,0.33431,0.33503,0.34225,0.34909,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-03-19,2010,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3434,0.34385,0.34689,0.34838,0.33457,0.33527,0.34253,0.34898,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-03-20,2010,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34322,0.34361,0.3468,0.34822,0.33484,0.33551,0.3428,0.34888,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-03-21,2010,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34304,0.34338,0.34671,0.34808,0.33511,0.33576,0.34307,0.34882,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-03-22,2010,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34286,0.34315,0.34663,0.34796,0.33538,0.33603,0.34334,0.34877,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-03-23,2010,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34269,0.34292,0.34656,0.34785,0.33566,0.3363,0.34361,0.34876,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-03-24,2010,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34251,0.3427,0.34649,0.34775,0.33596,0.33659,0.34389,0.34878,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-03-25,2010,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34234,0.34248,0.34644,0.34766,0.33626,0.3369,0.34418,0.34884,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-03-26,2010,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34217,0.34226,0.34639,0.3476,0.33659,0.33723,0.34448,0.34893,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2010-03-27,2010,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.342,0.34204,0.34635,0.34754,0.33692,0.33757,0.34478,0.34905,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
