#
# Transition date estimate for harvard
#
# Site: harvard
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2008
# Year max: 2020
# Final Processing Date: 2020-08-04
# Final Processing Time: 17:09:24
# Spline RMSE gcc_mean: 0.0033
# Spline RMSE gcc_50: 0.00314
# Spline RMSE gcc_75: 0.00353
# Spline RMSE gcc_90: 0.00428
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
harvard,DB,1000,rising,gcc_90,2008-05-03,2008-05-07,2008-05-15,2008-05-01,2008-05-06,2008-05-13,2008-05-05,2008-05-09,2008-05-16,0.37788,0.3901,0.41886,0.36862,0.46357
harvard,DB,1000,rising,gcc_90,2009-04-27,2009-05-02,2009-05-10,2009-04-24,2009-05-01,2009-05-08,2009-04-29,2009-05-05,2009-05-11,0.37744,0.38932,0.41912,0.3681,0.46195
harvard,DB,1000,rising,gcc_90,2010-04-19,2010-04-25,2010-05-01,2010-04-16,2010-04-24,2010-04-30,2010-04-22,2010-04-27,2010-05-02,0.3773,0.39083,0.41817,0.36901,0.46479
harvard,DB,1000,rising,gcc_90,2011-05-01,2011-05-07,2011-05-13,2011-04-29,2011-05-05,2011-05-11,2011-05-04,2011-05-09,2011-05-14,0.37954,0.39489,0.42211,0.3707,0.46857
harvard,DB,1000,rising,gcc_90,2012-04-20,2012-04-30,2012-05-07,2012-04-15,2012-04-29,2012-05-05,2012-04-26,2012-05-02,2012-05-08,0.38232,0.39693,0.42737,0.37247,0.47598
harvard,DB,1000,rising,gcc_90,2013-04-29,2013-05-04,2013-05-10,2013-04-26,2013-05-03,2013-05-08,2013-05-02,2013-05-06,2013-05-11,0.38197,0.39626,0.42541,0.37262,0.47091
harvard,DB,1000,rising,gcc_90,2014-05-07,2014-05-10,2014-05-16,2014-05-05,2014-05-09,2014-05-14,2014-05-09,2014-05-12,2014-05-17,0.38363,0.39458,0.42918,0.37311,0.47993
harvard,DB,1000,rising,gcc_90,2015-05-01,2015-05-05,2015-05-11,2015-04-29,2015-05-04,2015-05-09,2015-05-04,2015-05-07,2015-05-12,0.38023,0.39308,0.42025,0.37282,0.46639
harvard,DB,1000,rising,gcc_90,2016-05-06,2016-05-11,2016-05-17,2016-05-03,2016-05-10,2016-05-16,2016-05-09,2016-05-13,2016-05-18,0.38501,0.39745,0.42735,0.37523,0.47756
harvard,DB,1000,rising,gcc_90,2017-05-02,2017-05-10,2017-05-16,2017-04-28,2017-05-08,2017-05-14,2017-05-05,2017-05-12,2017-05-17,0.38649,0.40397,0.43767,0.3746,0.49377
harvard,DB,1000,rising,gcc_90,2018-05-02,2018-05-07,2018-05-14,2018-04-30,2018-05-06,2018-05-12,2018-05-05,2018-05-09,2018-05-15,0.38384,0.39975,0.43276,0.37504,0.47951
harvard,DB,1000,rising,gcc_90,2019-05-04,2019-05-11,2019-05-18,2019-04-29,2019-05-10,2019-05-16,2019-05-07,2019-05-13,2019-05-19,0.38691,0.40167,0.4308,0.37706,0.47923
harvard,DB,1000,rising,gcc_90,2020-05-13,2020-05-16,2020-05-21,2020-05-12,2020-05-15,2020-05-20,2020-05-15,2020-05-18,2020-05-22,0.38453,0.39642,0.42427,0.37744,0.47006
harvard,DB,1000,rising,gcc_75,2008-05-03,2008-05-07,2008-05-15,2008-05-01,2008-05-06,2008-05-13,2008-05-05,2008-05-09,2008-05-16,0.3758,0.38734,0.41478,0.36768,0.45754
harvard,DB,1000,rising,gcc_75,2009-04-26,2009-05-02,2009-05-10,2009-04-23,2009-05-01,2009-05-08,2009-04-29,2009-05-04,2009-05-11,0.37441,0.38686,0.41525,0.36612,0.45641
harvard,DB,1000,rising,gcc_75,2010-04-20,2010-04-26,2010-05-02,2010-04-17,2010-04-25,2010-04-30,2010-04-23,2010-04-28,2010-05-03,0.37685,0.38974,0.41857,0.36765,0.46147
harvard,DB,1000,rising,gcc_75,2011-04-30,2011-05-07,2011-05-13,2011-04-28,2011-05-05,2011-05-12,2011-05-03,2011-05-09,2011-05-14,0.37677,0.39207,0.41637,0.36878,0.46222
harvard,DB,1000,rising,gcc_75,2012-04-20,2012-04-30,2012-05-08,2012-04-14,2012-04-29,2012-05-06,2012-04-26,2012-05-02,2012-05-09,0.38016,0.39204,0.42213,0.37061,0.46758
harvard,DB,1000,rising,gcc_75,2013-04-29,2013-05-04,2013-05-10,2013-04-26,2013-05-03,2013-05-08,2013-05-01,2013-05-06,2013-05-11,0.37994,0.39263,0.4193,0.37092,0.46505
harvard,DB,1000,rising,gcc_75,2014-05-07,2014-05-11,2014-05-16,2014-05-05,2014-05-10,2014-05-15,2014-05-09,2014-05-12,2014-05-17,0.38099,0.39598,0.42341,0.3716,0.47269
harvard,DB,1000,rising,gcc_75,2015-05-01,2015-05-05,2015-05-11,2015-04-29,2015-05-04,2015-05-09,2015-05-03,2015-05-07,2015-05-12,0.37852,0.39093,0.41726,0.37098,0.45955
harvard,DB,1000,rising,gcc_75,2016-05-06,2016-05-12,2016-05-17,2016-05-04,2016-05-11,2016-05-16,2016-05-09,2016-05-13,2016-05-18,0.38236,0.3983,0.42359,0.37391,0.47296
harvard,DB,1000,rising,gcc_75,2017-05-02,2017-05-10,2017-05-16,2017-04-29,2017-05-09,2017-05-14,2017-05-05,2017-05-11,2017-05-17,0.38311,0.3999,0.43143,0.37255,0.48223
harvard,DB,1000,rising,gcc_75,2018-05-03,2018-05-07,2018-05-14,2018-05-01,2018-05-06,2018-05-13,2018-05-05,2018-05-09,2018-05-15,0.38322,0.39501,0.42508,0.37346,0.47285
harvard,DB,1000,rising,gcc_75,2019-05-05,2019-05-11,2019-05-18,2019-05-03,2019-05-10,2019-05-17,2019-05-08,2019-05-14,2019-05-19,0.38437,0.39703,0.42516,0.3758,0.47202
harvard,DB,1000,rising,gcc_75,2020-05-14,2020-05-17,2020-05-22,2020-05-12,2020-05-16,2020-05-20,2020-05-15,2020-05-18,2020-05-23,0.38504,0.39877,0.42523,0.37642,0.46643
harvard,DB,1000,rising,gcc_50,2008-05-03,2008-05-08,2008-05-15,2008-05-02,2008-05-07,2008-05-13,2008-05-05,2008-05-10,2008-05-16,0.37273,0.3865,0.41061,0.3656,0.45142
harvard,DB,1000,rising,gcc_50,2009-04-25,2009-05-02,2009-05-10,2009-04-19,2009-05-01,2009-05-08,2009-04-28,2009-05-04,2009-05-11,0.37177,0.38368,0.41036,0.36337,0.4523
harvard,DB,1000,rising,gcc_50,2010-04-19,2010-04-26,2010-05-02,2010-04-04,2010-04-25,2010-05-01,2010-04-22,2010-04-28,2010-05-03,0.37355,0.38532,0.412,0.36453,0.45707
harvard,DB,1000,rising,gcc_50,2011-04-30,2011-05-07,2011-05-14,2011-04-28,2011-05-06,2011-05-13,2011-05-03,2011-05-09,2011-05-15,0.37378,0.38667,0.41256,0.3657,0.45805
harvard,DB,1000,rising,gcc_50,2012-04-18,2012-05-01,2012-05-09,2012-04-13,2012-04-30,2012-05-07,2012-04-26,2012-05-03,2012-05-10,0.37718,0.38983,0.41832,0.36795,0.46433
