"site_id","latitude","longitude","elevation_in_meters","state","species_id","genus","species","common_name","kingdom","individual_id","phenophase_id","phenophase_description","first_yes_year","first_yes_month","first_yes_day","first_yes_doy","first_yes_julian_date","numdays_since_prior_no","last_yes_year","last_yes_month","last_yes_day","last_yes_doy","last_yes_julian_date","numdays_until_next_no"
2329,32.354759,-110.939194,961,"AZ",210,"Carnegiea","gigantea","saguaro","Plantae",4865,500,"Flowers or flower buds",2013,5,5,125,2456418,14,2013,5,26,146,2456439,21
2329,32.354759,-110.939194,961,"AZ",210,"Carnegiea","gigantea","saguaro","Plantae",4865,516,"Fruits",2013,5,26,146,2456439,7,2013,6,16,167,2456460,35
2329,32.354759,-110.939194,961,"AZ",210,"Carnegiea","gigantea","saguaro","Plantae",4866,500,"Flowers or flower buds",2013,4,14,104,2456397,7,2013,5,26,146,2456439,21
2329,32.354759,-110.939194,961,"AZ",210,"Carnegiea","gigantea","saguaro","Plantae",4866,501,"Open flowers",2013,5,11,131,2456424,6,2013,5,19,139,2456432,7
2329,32.354759,-110.939194,961,"AZ",210,"Carnegiea","gigantea","saguaro","Plantae",4866,516,"Fruits",2013,5,19,139,2456432,8,2013,5,26,146,2456439,21
2329,32.354759,-110.939194,961,"AZ",210,"Carnegiea","gigantea","saguaro","Plantae",5653,390,"Ripe fruits",2013,1,27,27,2456320,14,2013,2,24,55,2456348,7
2329,32.354759,-110.939194,961,"AZ",210,"Carnegiea","gigantea","saguaro","Plantae",5653,500,"Flowers or flower buds",2013,3,24,83,2456376,7,2013,4,21,111,2456404,14
2329,32.354759,-110.939194,961,"AZ",210,"Carnegiea","gigantea","saguaro","Plantae",5653,500,"Flowers or flower buds",2013,5,11,131,2456424,6,2013,5,26,146,2456439,21
2329,32.354759,-110.939194,961,"AZ",210,"Carnegiea","gigantea","saguaro","Plantae",5653,500,"Flowers or flower buds",2013,7,21,202,2456495,35,2013,7,28,209,2456502,7
2329,32.354759,-110.939194,961,"AZ",210,"Carnegiea","gigantea","saguaro","Plantae",5653,500,"Flowers or flower buds",2013,9,1,244,2456537,7,2013,9,22,265,2456558,17
2329,32.354759,-110.939194,961,"AZ",210,"Carnegiea","gigantea","saguaro","Plantae",5653,501,"Open flowers",2013,5,26,146,2456439,7,2013,5,26,146,2456439,21
